Web Series,Positive,Negative,Neutral,Analysis,Status,Cast,Rating,Release Year
Safe House,70,17,13,Go and Watch,Positive,Daniel Espinosa,2012,"September 16, 2021"
The Smart Money Woman,73,20,7,Go and Watch,Positive,Bunmi Ajakaiye,TV-MA,2020
Training Day,60,10,30,Go and Watch,Positive,Antoine Fuqua,2001,"September 16, 2021"
Castle and Castle,53,20,27,Go and Watch,Positive,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",TV-MA,2021
Dharmakshetra,10,10,10,Go and Watch,Positive,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",TV-PG,2014
InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,0,Go and Watch,Positive,Toshiya Shinohara,2002,"September 15, 2021"
InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,0,Go and Watch,Positive,Toshiya Shinohara,2003,"September 15, 2021"
InuYasha the Movie 4: Fire on the Mystic Island,0,0,0,Go and Watch,Positive,Toshiya Shinohara,2004,"September 15, 2021"
InuYasha the Movie: Affections Touching Across Time,3,0,0,Go and Watch,Positive,Toshiya Shinohara,2001,"September 15, 2021"
Nailed It,27,3,70,You Decide,Neutral,"Nicole Byer, Jacques Torres",TV-PG,2021
Naruto Shippuden the Movie: Blood Prison,0,0,0,Go and Watch,Positive,Masahiko Murata,2011,"September 15, 2021"
Naruto Shippûden the Movie: Bonds,0,0,3,You Decide,Neutral,Hajime Kamegaki,2008,"September 15, 2021"
Naruto Shippûden the Movie: The Will of Fire,0,0,0,Go and Watch,Positive,Masahiko Murata,2009,"September 15, 2021"
Naruto Shippuden: The Movie,13,53,33,Do not Watch,Negative,Hajime Kamegaki,2007,"September 15, 2021"
