Web Series,Positive,Negative,Neutral,Analysis,Status
Tobot Galaxy Detectives,0.0,0.0,3.0,You Decide,Neutral
Untold: Breaking Point,13.0,3.0,13.0,Do not Watch,Negative
Countdown: Inspiration4 Mission to Space,23.0,0.0,57.0,You Decide,Neutral
Shadow Parties,50.0,33.0,17.0,Go and Watch,Positive
Tayo the Little Bus,13.0,7.0,27.0,Do not Watch,Negative
Angamaly Diaries,17.0,0.0,47.0,You Decide,Neutral
Bunk'd,40.0,20.0,40.0,Go and Watch,Positive
A Champion Heart,77.0,17.0,7.0,Go and Watch,Positive
Dive Club,50.0,10.0,40.0,Go and Watch,Positive
La casa de papel,7.0,30.0,63.0,Go and Watch,Positive
Money Heist: From Tokyo to Berlin,0.0,0.0,3.0,You Decide,Neutral
Sharkdog,23.0,37.0,40.0,You Decide,Neutral
Worth,60.0,27.0,13.0,Go and Watch,Positive
Afterlife of the Party,53.0,47.0,0.0,Go and Watch,Positive
Anjaam,10.0,7.0,83.0,You Decide,Neutral
Bright Star,67.0,10.0,23.0,Go and Watch,Positive
Dhanak,40.0,7.0,53.0,Do not Watch,Negative
Final Account,33.0,20.0,47.0,You Decide,Neutral
Gurgaon,20.0,37.0,43.0,You Decide,Neutral
Here and There,33.0,40.0,27.0,Do not Watch,Negative
Heroes of Goo Jit Zu,43.0,0.0,0.0,Go and Watch,Positive
Hotel Del Luna,17.0,23.0,60.0,You Decide,Neutral
In the Cut,20.0,63.0,17.0,Do not Watch,Negative
Luv Kushh,0.0,0.0,0.0,Go and Watch,Positive
Pororo - The Little Penguin,7.0,7.0,10.0,Go and Watch,Positive
Q-Force,20.0,23.0,57.0,You Decide,Neutral
Shikara,40.0,27.0,33.0,Go and Watch,Positive
A Cinderella Story,37.0,10.0,53.0,You Decide,Neutral
Agatha Christie's Crooked House,0.0,0.0,0.0,Go and Watch,Positive
An Unfinished Life,20.0,47.0,33.0,Do not Watch,Negative
Barbie Big City Big Dreams,93.0,3.0,3.0,Go and Watch,Positive
Blade Runner: The Final Cut,23.0,60.0,17.0,Do not Watch,Negative
Brave Animated Series,53.0,7.0,10.0,Do not Watch,Negative
Chappie,43.0,27.0,30.0,Go and Watch,Positive
Clear and Present Danger,27.0,63.0,10.0,Do not Watch,Negative
Cliffhanger,43.0,20.0,37.0,Go and Watch,Positive
