Web Series,Positive,Negative,Neutral,Analysis,Status
Derry Girls,40.0,33.0,27.0,Go and Watch,Positive
Girl from Nowhere,10.0,37.0,53.0,You Decide,Neutral
Good Morning Call,73.0,17.0,10.0,Go and Watch,Positive
Har Kisse Ke Hisse: Kaamyaab,0.0,0.0,0.0,Go and Watch,Positive
I AM A KILLER,37.0,57.0,7.0,You Decide,Neutral
I Think You Should Leave with Tim Robinson,13.0,40.0,3.0,Do not Watch,Negative
Kim's Convenience,30.0,13.0,57.0,You Decide,Neutral
Larva,7.0,27.0,67.0,Go and Watch,Positive
Marcella,7.0,20.0,73.0,You Decide,Neutral
Midnight Diner: Tokyo Stories,17.0,7.0,43.0,Do not Watch,Negative
My Little Pony: Friendship Is Magic,80.0,7.0,13.0,Go and Watch,Positive
Orange Is the New Black,17.0,23.0,60.0,You Decide,Neutral
Puffin Rock,57.0,10.0,33.0,Go and Watch,Positive
Rehmataan,0.0,0.0,0.0,Go and Watch,Positive
Return of the Prodigal Son,20.0,40.0,40.0,Do not Watch,Negative
Richie Rich,73.0,10.0,17.0,Go and Watch,Positive
Rise: Ini Kalilah,3.0,0.0,3.0,Go and Watch,Positive
Scream,10.0,50.0,40.0,Do not Watch,Negative
Shtisel,30.0,0.0,70.0,You Decide,Neutral
Si Doel the Movie 2,0.0,0.0,0.0,Go and Watch,Positive
Some Assembly Required,23.0,7.0,70.0,You Decide,Neutral
Tales by Light,43.0,13.0,43.0,Go and Watch,Positive
Terrace House: Opening New Doors,3.0,0.0,7.0,You Decide,Neutral
The A List,53.0,20.0,27.0,Go and Watch,Positive
The New Legends of Monkey,33.0,3.0,13.0,Go and Watch,Positive
The Worst Witch,10.0,83.0,7.0,Do not Watch,Negative
Truckbhar Swapna,0.0,0.0,0.0,Go and Watch,Positive
Ujala,3.0,3.0,93.0,You Decide,Neutral
Undercover,27.0,30.0,43.0,You Decide,Neutral
Workin' Moms,37.0,23.0,40.0,You Decide,Neutral
YooHoo to the Rescue,3.0,0.0,0.0,Go and Watch,Positive
You Are My Spring,60.0,17.0,23.0,Go and Watch,Positive
We the People,23.0,53.0,23.0,Do not Watch,Negative
Grey's Anatomy,17.0,10.0,73.0,You Decide,Neutral
Big Timber,43.0,0.0,57.0,You Decide,Neutral
Fear Street Part 1: 1994,3.0,23.0,0.0,Go and Watch,Positive
